NaturalLanguageID	ProgrammingLanguageName	RepoID	SourceID	CommentID	Comment	Class	
EN	php	CodeIgniter	application/config/config.php	CodeIgniter/application/config/config.php/40	URI PROTOCOL\nThis item determines which server global should be used to retrieve the\nURI string. The default setting of 'REQUEST_URI' works for most servers.\nIf your links do not seem to work, try one of the other delicious flavors:\n'REQUEST_URI' Uses $_SERVER['REQUEST_URI']\n'QUERY_STRING' Uses $_SERVER['QUERY_STRING']\n'PATH_INFO' Uses $_SERVER['PATH_INFO']\nWARNING: If you set this to 'PATH_INFO', URIs will always be URL-decoded!	Notice
EN	php	CodeIgniter	application/config/constants.php	CodeIgniter/application/config/constants.php/16	File and Directory Modes\nThese prefs are used when checking and setting modes when working\nwith the file system. The defaults are fine on servers with proper\nsecurity, but you may wish (or even need) to change the values in\ncertain environments (Apache running a separate process for each\nuser, PHP under CGI with Apache suEXEC, etc.). Octal values should\nalways be used to set the mode correctly.	Notice
EN	php	CodeIgniter	application/config/constants.php	CodeIgniter/application/config/constants.php/34	File Stream Modes\nThese modes are used when working with fopen()/popen()	Notice
EN	php	CodeIgniter	application/config/database.php	CodeIgniter/application/config/database.php/4	DATABASE CONNECTIVITY SETTINGS\nThis file will contain the settings needed to access your database.\nFor complete instructions please consult the 'Database Connection'\npage of the User Guide.\nEXPLANATION OF VARIABLES\n['dsn'] The full DSN string describe a connection to the database.\n['hostname'] The hostname of your database server.\n['username'] The username used to connect to the database\n['password'] The password used to connect to the database\n['database'] The name of the database you want to connect to\n['dbdriver'] The database driver. e.g.: mysqli.\nCurrently supported:\ncubrid, ibase, mssql, mysql, mysqli, oci8,\nodbc, pdo, postgre, sqlite3, sqlsrv\n['dbprefix'] You can add an optional prefix, which will be added\nto the table name when using the Query Builder class\n['pconnect'] TRUE/FALSE - Whether to use a persistent connection\n['db_debug'] TRUE/FALSE - Whether database errors should be displayed.\n['cache_on'] TRUE/FALSE - Enables/disables query caching\n['cachedir'] The path to the folder where cache files should be stored\n['char_set'] The character set used in communicating with the database\n['dbcollat'] The character collation used in communicating with the database\nNOTE: For MySQL and MySQLi databases, this setting is only used\nas a backup if your server is running PHP < 5.2.3 or MySQL < 5.0.7\n(and in table creation queries made with DB Forge).\nThere is an incompatibility in PHP with mysql_real_escape_string() which\ncan make your site vulnerable to SQL injection if you are using a\nmulti-byte character set and are running versions lower than these.\nSites using Latin-1 or UTF-8 database character set and collation are unaffected.\n['swap_pre'] A default table prefix that should be swapped with the dbprefix\n['encrypt'] Whether or not to use an encrypted connection.\n'mysql' (deprecated), 'sqlsrv' and 'pdo/sqlsrv' drivers accept TRUE/FALSE\n'mysqli' and 'pdo/mysql' drivers accept an array with the following options:\n'ssl_key' - Path to the private key file\n'ssl_cert' - Path to the public key certificate file\n'ssl_ca' - Path to the certificate authority file\n'ssl_capath' - Path to a directory containing trusted CA certificates in PEM format\n'ssl_cipher' - List of allowedciphers to be used for the encryption, separated by colons (':')\n'ssl_verify' - TRUE/FALSE; Whether verify the server certificate or not\n['compress'] Whether or not to use client compression (MySQL only)\n['stricton'] TRUE/FALSE - forces 'Strict Mode' connections\ngood for ensuring strict SQL while developing\n['ssl_options'] Used to set various SSL options that can be used when making SSL connections.\n['failover'] array - A array with 0 or more data for connections if the main should fail.\n['save_queries'] TRUE/FALSE - Whether to "save" all executed queries.\nNOTE: Disabling this will also effectively disable both\n$this->db->last_query() and profiling of DB queries.\nWhen you run a query, with this setting set to TRUE (default),\nCodeIgniter will store the SQL statement for debugging purposes.\nHowever, this may cause high memory usage, especially if you run\na lot of SQL queries ... disable this to avoid that problem.\nThe $active_group variable lets you choose which connection group to\nmake active. By default there is only one group (the 'default' group).\nThe $query_builder variables lets you determine whether or not to load\nthe query builder class.	Notice
EN	php	CodeIgniter	application/config/foreign_chars.php	CodeIgniter/application/config/foreign_chars.php/4	Foreign Characters\nThis file contains an array of foreign characters for transliteration\nconversion used by the Text helper	Notice
EN	php	CodeIgniter	application/config/migration.php	CodeIgniter/application/config/migration.php/16	Migration Type\nMigration file names may be based on a sequential identifier or on\na timestamp. Options are:\n'sequential' = Sequential migration naming (001_add_blog.php)\n'timestamp' = Timestamp migration naming (20121031104401_add_blog.php)\nUse timestamp format YYYYMMDDHHIISS.\nNote: If this configuration value is missing the Migration library\ndefaults to 'sequential' for backward compatibility with CI2.	Notice
EN	php	CodeIgniter	application/config/migration.php	CodeIgniter/application/config/migration.php/34	Migrations table\nThis is the name of the table that will store the current migrations state.\nWhen migrations runs it will store in a database table which migration\nlevel the system is at. It then compares the migration level in this\ntable to the $config['migration_version'] if they are not the same it\nwill migrate up. This must be set.	Notice
EN	php	CodeIgniter	application/config/migration.php	CodeIgniter/application/config/migration.php/4	Enable/Disable Migrations\nMigrations are disabled by default for security reasons.\nYou should enable migrations whenever you intend to do a schema migration\nand disable it back when you're done.	Notice
EN	php	CodeIgniter	application/config/migration.php	CodeIgniter/application/config/migration.php/48	Auto Migrate To Latest\nIf this is set to TRUE when you load the migrations class and have\n$config['migration_enabled'] set to TRUE the system will auto migrate\nto your latest migration (whatever $config['migration_version'] is\nset to). This way you do not have to call migrations anywhere else\nin your code to have the latest migration.	Notice
EN	php	CodeIgniter	application/config/migration.php	CodeIgniter/application/config/migration.php/62	Migrations version\nThis is used to set migration version that the file system should be on.\nIf you run $this->migration->current() this is the version that schema will\nbe upgraded / downgraded to.	Notice
EN	php	CodeIgniter	application/config/migration.php	CodeIgniter/application/config/migration.php/74	Migrations Path\nPath to your migrations folder.\nTypically, it will be within your application path.\nAlso, writing permission is required within the migrations path.	Notice
EN	php	CodeIgniter	application/config/mimes.php	CodeIgniter/application/config/mimes.php/4	MIME TYPES\nThis file contains an array of mime types. It is used by the\nUpload class to help identify allowed file types.	Notice
EN	php	CodeIgniter	application/config/user_agents.php	CodeIgniter/application/config/user_agents.php/4	USER AGENT TYPES\nThis file contains four arrays of user agent data. It is used by the\nUser Agent Class to help identify browser, platform, robot, and\nmobile device data. The array keys are used to identify the device\nand the array values are used to set the actual name of the item.	Notice
EN	php	CodeIgniter	application/config/user_agents.php	CodeIgniter/application/config/user_agents.php/59	The order of this array should NOT be changed. Many browsers return\nmultiple browser types so we want to identify the sub-type first.	Notice
EN	php	CodeIgniter	application/config/user_agents.php	CodeIgniter/application/config/user_agents.php/66	Opera 10+ always reports Opera/9.80 and appends Version/<real version> to the user agent string	Notice
EN	php	CodeIgniter	application/config/user_agents.php	CodeIgniter/application/config/user_agents.php/95	legacy array, old values commented out	Notice
EN	php	CodeIgniter	index.php	CodeIgniter/index.php/39	APPLICATION ENVIRONMENT\nYou can load different configurations depending on your\ncurrent environment. Setting the environment also influences\nthings like logging and error reporting.\n\nThis can be set to anything, but default usage is:\n\ndevelopment\ntesting\nproduction\n\nNOTE: If you change these, also change the error_reporting() code below	Notice
EN	php	CodeIgniter	index.php	CodeIgniter/index.php/58	ERROR REPORTING\nDifferent environments will require different levels of error reporting.\nBy default development will show errors but testing and live will hide them.	Notice
EN	php	CodeIgniter	index.php	CodeIgniter/index.php/85	SYSTEM DIRECTORY NAME\nThis variable must contain the name of your "system" directory.\nSet the path if it is not in the same directory as this file.	Notice
EN	php	CodeIgniter	system/core/CodeIgniter.php	CodeIgniter/system/core/CodeIgniter.php/199	mbstring.internal_encoding is deprecated starting with PHP 5.6\nand it's usage triggers E_DEPRECATED messages.	Notice
EN	php	CodeIgniter	system/core/CodeIgniter.php	CodeIgniter/system/core/CodeIgniter.php/211	There's an ICONV_IMPL constant, but the PHP manual says that using\niconv's predefined constants is "strongly discouraged".	Notice
EN	php	CodeIgniter	system/core/CodeIgniter.php	CodeIgniter/system/core/CodeIgniter.php/216	iconv.internal_encoding is deprecated starting with PHP 5.6\nand it's usage triggers E_DEPRECATED messages.	Notice
EN	php	CodeIgniter	system/core/CodeIgniter.php	CodeIgniter/system/core/CodeIgniter.php/329	Sanity checks\nThe Router class has already validated the request,\nleaving us with 3 options here:\n\n1) an empty class name, if we reached the default\ncontroller, but it didn't exist;\n2) a query string which doesn't go through a\nfile_exists() check\n3) a regular request for a non-existing page\n\nWe handle all of these as a 404 error.\n\nFurthermore, none of the methods in the app controller\nor the loader class can be called via the URI, nor can\ncontroller methods that begin with an underscore.	Notice
EN	php	CodeIgniter	system/core/CodeIgniter.php	CodeIgniter/system/core/CodeIgniter.php/375	DO NOT CHANGE THIS, NOTHING ELSE WORKS!\nmethod_exists() returns true for non-public methods, which passes the previous elseif\nis_callable() returns false for PHP 4-style constructors, even if there's a __construct()\nmethod_exists($class, '__construct') won't work because CI_Controller::__construct() is inherited\nPeople will only complain if this doesn't work, even though it is documented that it shouldn't.\nReflectionMethod::isConstructor() is the ONLY reliable check,\nknowing which method will be executed as a constructor.	Notice
EN	php	CodeIgniter	system/core/Common.php	CodeIgniter/system/core/Common.php/183	Note: We use exit() rather than show_error() in order to avoid a\nself-referencing loop with the Exceptions class	Notice
EN	php	CodeIgniter	system/core/compat/hash.php	CodeIgniter/system/core/compat/hash.php/230	Note: Blocks are NOT 0-indexed	Notice
EN	php	CodeIgniter	system/core/compat/password.php	CodeIgniter/system/core/compat/password.php/194	password_needs_rehash()\n@link https://secure.php.net/password_needs_rehash\n@param string $hash\n@param int $algo\n@param array $options\n@return bool	Functional-Method
EN	php	CodeIgniter	system/core/compat/password.php	CodeIgniter/system/core/compat/password.php/228	password_verify()\n@link https://secure.php.net/password_verify\n@param string $password\n@param string $hash\n@return bool	Functional-Method
EN	php	CodeIgniter	system/core/compat/password.php	CodeIgniter/system/core/compat/password.php/67	password_get_info()\n@link https://secure.php.net/password_get_info\n@param string $hash\n@return array	Functional-Method
EN	php	CodeIgniter	system/core/compat/password.php	CodeIgniter/system/core/compat/password.php/86	password_hash()\n@link https://secure.php.net/password_hash\n@param string $password\n@param int $algo\n@param array $options\n@return mixed	Functional-Method
EN	php	CodeIgniter	system/database/DB.php	CodeIgniter/system/database/DB.php/108	Parse the URL from the DSN string\nDatabase settings can be passed as discreet\nparameters or as a data source name in the first\nparameter. DSNs must have this prototype:\n$dsn = 'driver://username:password@hostname/database';	Notice
EN	php	CodeIgniter	index.php	CodeIgniter/index.php/2	CodeIgniter\n\nAn open source application development framework for PHP\n\nThis content is released under the MIT License (MIT)\n\nCopyright (c) 2014 - 2019, British Columbia Institute of Technology\n\nPermission is hereby granted, free of charge, to any person obtaining a copy\nof this software and associated documentation files (the "Software"), to deal\nin the Software without restriction, including without limitation the rights\nto use, copy, modify, merge, publish, distribute, sublicense, and/or sell\ncopies of the Software, and to permit persons to whom the Software is\nfurnished to do so, subject to the following conditions:\n\nThe above copyright notice and this permission notice shall be included in\nall copies or substantial portions of the Software.\n\nTHE SOFTWARE IS PROVIDED "AS IS", WITHOUT WARRANTY OF ANY KIND, EXPRESS OR\nIMPLIED, INCLUDING BUT NOT LIMITED TO THE WARRANTIES OF MERCHANTABILITY,\nFITNESS FOR A PARTICULAR PURPOSE AND NONINFRINGEMENT. IN NO EVENT SHALL THE\nAUTHORS OR COPYRIGHT HOLDERS BE LIABLE FOR ANY CLAIM, DAMAGES OR OTHER\nLIABILITY, WHETHER IN AN ACTION OF CONTRACT, TORT OR OTHERWISE, ARISING FROM,\nOUT OF OR IN CONNECTION WITH THE SOFTWARE OR THE USE OR OTHER DEALINGS IN\nTHE SOFTWARE.\n\n@package CodeIgniter\n@author EllisLab Dev Team\n@copyright Copyright (c) 2008 - 2014, EllisLab, Inc. (https://ellislab.com/)\n@copyright Copyright (c) 2014 - 2019, British Columbia Institute of Technology (https://bcit.ca/)\n@license https://opensource.org/licenses/MIT MIT License\n@link https://codeigniter.com\n@since Version 1.0.0\n@filesource	General
EN	php	CodeIgniter	system/core/Benchmark.php	CodeIgniter/system/core/Benchmark.php/2	CodeIgniter\n\nAn open source application development framework for PHP\n\nThis content is released under the MIT License (MIT)\n\nCopyright (c) 2014 - 2019, British Columbia Institute of Technology\n\nPermission is hereby granted, free of charge, to any person obtaining a copy\nof this software and associated documentation files (the "Software"), to deal\nin the Software without restriction, including without limitation the rights\nto use, copy, modify, merge, publish, distribute, sublicense, and/or sell\ncopies of the Software, and to permit persons to whom the Software is\nfurnished to do so, subject to the following conditions:\n\nThe above copyright notice and this permission notice shall be included in\nall copies or substantial portions of the Software.\n\nTHE SOFTWARE IS PROVIDED "AS IS", WITHOUT WARRANTY OF ANY KIND, EXPRESS OR\nIMPLIED, INCLUDING BUT NOT LIMITED TO THE WARRANTIES OF MERCHANTABILITY,\nFITNESS FOR A PARTICULAR PURPOSE AND NONINFRINGEMENT. IN NO EVENT SHALL THE\nAUTHORS OR COPYRIGHT HOLDERS BE LIABLE FOR ANY CLAIM, DAMAGES OR OTHER\nLIABILITY, WHETHER IN AN ACTION OF CONTRACT, TORT OR OTHERWISE, ARISING FROM,\nOUT OF OR IN CONNECTION WITH THE SOFTWARE OR THE USE OR OTHER DEALINGS IN\nTHE SOFTWARE.\n\n@package CodeIgniter\n@author EllisLab Dev Team\n@copyright Copyright (c) 2008 - 2014, EllisLab, Inc. (https://ellislab.com/)\n@copyright Copyright (c) 2014 - 2019, British Columbia Institute of Technology (https://bcit.ca/)\n@license https://opensource.org/licenses/MIT MIT License\n@link https://codeigniter.com\n@since Version 1.0.0\n@filesource	General
EN	php	CodeIgniter	system/core/CodeIgniter.php	CodeIgniter/system/core/CodeIgniter.php/2	CodeIgniter\n\nAn open source application development framework for PHP\n\nThis content is released under the MIT License (MIT)\n\nCopyright (c) 2014 - 2019, British Columbia Institute of Technology\n\nPermission is hereby granted, free of charge, to any person obtaining a copy\nof this software and associated documentation files (the "Software"), to deal\nin the Software without restriction, including without limitation the rights\nto use, copy, modify, merge, publish, distribute, sublicense, and/or sell\ncopies of the Software, and to permit persons to whom the Software is\nfurnished to do so, subject to the following conditions:\n\nThe above copyright notice and this permission notice shall be included in\nall copies or substantial portions of the Software.\n\nTHE SOFTWARE IS PROVIDED "AS IS", WITHOUT WARRANTY OF ANY KIND, EXPRESS OR\nIMPLIED, INCLUDING BUT NOT LIMITED TO THE WARRANTIES OF MERCHANTABILITY,\nFITNESS FOR A PARTICULAR PURPOSE AND NONINFRINGEMENT. IN NO EVENT SHALL THE\nAUTHORS OR COPYRIGHT HOLDERS BE LIABLE FOR ANY CLAIM, DAMAGES OR OTHER\nLIABILITY, WHETHER IN AN ACTION OF CONTRACT, TORT OR OTHERWISE, ARISING FROM,\nOUT OF OR IN CONNECTION WITH THE SOFTWARE OR THE USE OR OTHER DEALINGS IN\nTHE SOFTWARE.\n\n@package CodeIgniter\n@author EllisLab Dev Team\n@copyright Copyright (c) 2008 - 2014, EllisLab, Inc. (https://ellislab.com/)\n@copyright Copyright (c) 2014 - 2019, British Columbia Institute of Technology (https://bcit.ca/)\n@license https://opensource.org/licenses/MIT MIT License\n@link https://codeigniter.com\n@since Version 1.0.0\n@filesource	General
EN	php	CodeIgniter	system/core/Common.php	CodeIgniter/system/core/Common.php/2	CodeIgniter\n\nAn open source application development framework for PHP\n\nThis content is released under the MIT License (MIT)\n\nCopyright (c) 2014 - 2019, British Columbia Institute of Technology\n\nPermission is hereby granted, free of charge, to any person obtaining a copy\nof this software and associated documentation files (the "Software"), to deal\nin the Software without restriction, including without limitation the rights\nto use, copy, modify, merge, publish, distribute, sublicense, and/or sell\ncopies of the Software, and to permit persons to whom the Software is\nfurnished to do so, subject to the following conditions:\n\nThe above copyright notice and this permission notice shall be included in\nall copies or substantial portions of the Software.\n\nTHE SOFTWARE IS PROVIDED "AS IS", WITHOUT WARRANTY OF ANY KIND, EXPRESS OR\nIMPLIED, INCLUDING BUT NOT LIMITED TO THE WARRANTIES OF MERCHANTABILITY,\nFITNESS FOR A PARTICULAR PURPOSE AND NONINFRINGEMENT. IN NO EVENT SHALL THE\nAUTHORS OR COPYRIGHT HOLDERS BE LIABLE FOR ANY CLAIM, DAMAGES OR OTHER\nLIABILITY, WHETHER IN AN ACTION OF CONTRACT, TORT OR OTHERWISE, ARISING FROM,\nOUT OF OR IN CONNECTION WITH THE SOFTWARE OR THE USE OR OTHER DEALINGS IN\nTHE SOFTWARE.\n\n@package CodeIgniter\n@author EllisLab Dev Team\n@copyright Copyright (c) 2008 - 2014, EllisLab, Inc. (https://ellislab.com/)\n@copyright Copyright (c) 2014 - 2019, British Columbia Institute of Technology (https://bcit.ca/)\n@license https://opensource.org/licenses/MIT MIT License\n@link https://codeigniter.com\n@since Version 1.0.0\n@filesource	General
EN	php	CodeIgniter	system/core/compat/hash.php	CodeIgniter/system/core/compat/hash.php/2	CodeIgniter\n\nAn open source application development framework for PHP\n\nThis content is released under the MIT License (MIT)\n\nCopyright (c) 2014 - 2019, British Columbia Institute of Technology\n\nPermission is hereby granted, free of charge, to any person obtaining a copy\nof this software and associated documentation files (the "Software"), to deal\nin the Software without restriction, including without limitation the rights\nto use, copy, modify, merge, publish, distribute, sublicense, and/or sell\ncopies of the Software, and to permit persons to whom the Software is\nfurnished to do so, subject to the following conditions:\n\nThe above copyright notice and this permission notice shall be included in\nall copies or substantial portions of the Software.\n\nTHE SOFTWARE IS PROVIDED "AS IS", WITHOUT WARRANTY OF ANY KIND, EXPRESS OR\nIMPLIED, INCLUDING BUT NOT LIMITED TO THE WARRANTIES OF MERCHANTABILITY,\nFITNESS FOR A PARTICULAR PURPOSE AND NONINFRINGEMENT. IN NO EVENT SHALL THE\nAUTHORS OR COPYRIGHT HOLDERS BE LIABLE FOR ANY CLAIM, DAMAGES OR OTHER\nLIABILITY, WHETHER IN AN ACTION OF CONTRACT, TORT OR OTHERWISE, ARISING FROM,\nOUT OF OR IN CONNECTION WITH THE SOFTWARE OR THE USE OR OTHER DEALINGS IN\nTHE SOFTWARE.\n\n@package CodeIgniter\n@author EllisLab Dev Team\n@copyright Copyright (c) 2008 - 2014, EllisLab, Inc. (https://ellislab.com/)\n@copyright Copyright (c) 2014 - 2019, British Columbia Institute of Technology (https://bcit.ca/)\n@license https://opensource.org/licenses/MIT MIT License\n@link https://codeigniter.com\n@since Version 3.0.0\n@filesource	General
EN	php	CodeIgniter	system/core/compat/hash.php	CodeIgniter/system/core/compat/hash.php/40	PHP ext/hash compatibility package\n\n@package CodeIgniter\n@subpackage CodeIgniter\n@category Compatibility\n@author Andrey Andreev\n@link https://codeigniter.com/user_guide/\n@link https://secure.php.net/hash	General
EN	php	CodeIgniter	system/core/compat/mbstring.php	CodeIgniter/system/core/compat/mbstring.php/2	CodeIgniter\n\nAn open source application development framework for PHP\n\nThis content is released under the MIT License (MIT)\n\nCopyright (c) 2014 - 2019, British Columbia Institute of Technology\n\nPermission is hereby granted, free of charge, to any person obtaining a copy\nof this software and associated documentation files (the "Software"), to deal\nin the Software without restriction, including without limitation the rights\nto use, copy, modify, merge, publish, distribute, sublicense, and/or sell\ncopies of the Software, and to permit persons to whom the Software is\nfurnished to do so, subject to the following conditions:\n\nThe above copyright notice and this permission notice shall be included in\nall copies or substantial portions of the Software.\n\nTHE SOFTWARE IS PROVIDED "AS IS", WITHOUT WARRANTY OF ANY KIND, EXPRESS OR\nIMPLIED, INCLUDING BUT NOT LIMITED TO THE WARRANTIES OF MERCHANTABILITY,\nFITNESS FOR A PARTICULAR PURPOSE AND NONINFRINGEMENT. IN NO EVENT SHALL THE\nAUTHORS OR COPYRIGHT HOLDERS BE LIABLE FOR ANY CLAIM, DAMAGES OR OTHER\nLIABILITY, WHETHER IN AN ACTION OF CONTRACT, TORT OR OTHERWISE, ARISING FROM,\nOUT OF OR IN CONNECTION WITH THE SOFTWARE OR THE USE OR OTHER DEALINGS IN\nTHE SOFTWARE.\n\n@package CodeIgniter\n@author EllisLab Dev Team\n@copyright Copyright (c) 2008 - 2014, EllisLab, Inc. (https://ellislab.com/)\n@copyright Copyright (c) 2014 - 2019, British Columbia Institute of Technology (https://bcit.ca/)\n@license https://opensource.org/licenses/MIT MIT License\n@link https://codeigniter.com\n@since Version 3.0.0\n@filesource	General
EN	php	CodeIgniter	system/core/compat/mbstring.php	CodeIgniter/system/core/compat/mbstring.php/40	PHP ext/mbstring compatibility package\n\n@package CodeIgniter\n@subpackage CodeIgniter\n@category Compatibility\n@author Andrey Andreev\n@link https://codeigniter.com/user_guide/\n@link https://secure.php.net/mbstring	General
EN	php	CodeIgniter	system/core/compat/password.php	CodeIgniter/system/core/compat/password.php/2	CodeIgniter\n\nAn open source application development framework for PHP\n\nThis content is released under the MIT License (MIT)\n\nCopyright (c) 2014 - 2019, British Columbia Institute of Technology\n\nPermission is hereby granted, free of charge, to any person obtaining a copy\nof this software and associated documentation files (the "Software"), to deal\nin the Software without restriction, including without limitation the rights\nto use, copy, modify, merge, publish, distribute, sublicense, and/or sell\ncopies of the Software, and to permit persons to whom the Software is\nfurnished to do so, subject to the following conditions:\n\nThe above copyright notice and this permission notice shall be included in\nall copies or substantial portions of the Software.\n\nTHE SOFTWARE IS PROVIDED "AS IS", WITHOUT WARRANTY OF ANY KIND, EXPRESS OR\nIMPLIED, INCLUDING BUT NOT LIMITED TO THE WARRANTIES OF MERCHANTABILITY,\nFITNESS FOR A PARTICULAR PURPOSE AND NONINFRINGEMENT. IN NO EVENT SHALL THE\nAUTHORS OR COPYRIGHT HOLDERS BE LIABLE FOR ANY CLAIM, DAMAGES OR OTHER\nLIABILITY, WHETHER IN AN ACTION OF CONTRACT, TORT OR OTHERWISE, ARISING FROM,\nOUT OF OR IN CONNECTION WITH THE SOFTWARE OR THE USE OR OTHER DEALINGS IN\nTHE SOFTWARE.\n\n@package CodeIgniter\n@author EllisLab Dev Team\n@copyright Copyright (c) 2008 - 2014, EllisLab, Inc. (https://ellislab.com/)\n@copyright Copyright (c) 2014 - 2019, British Columbia Institute of Technology (https://bcit.ca/)\n@license https://opensource.org/licenses/MIT MIT License\n@link https://codeigniter.com\n@since Version 3.0.0\n@filesource	General
EN	php	CodeIgniter	system/core/compat/password.php	CodeIgniter/system/core/compat/password.php/40	PHP ext/standard/password compatibility package\n\n@package CodeIgniter\n@subpackage CodeIgniter\n@category Compatibility\n@author Andrey Andreev\n@link https://codeigniter.com/user_guide/\n@link https://secure.php.net/password	General
EN	php	CodeIgniter	system/core/compat/standard.php	CodeIgniter/system/core/compat/standard.php/2	CodeIgniter\n\nAn open source application development framework for PHP\n\nThis content is released under the MIT License (MIT)\n\nCopyright (c) 2014 - 2019, British Columbia Institute of Technology\n\nPermission is hereby granted, free of charge, to any person obtaining a copy\nof this software and associated documentation files (the "Software"), to deal\nin the Software without restriction, including without limitation the rights\nto use, copy, modify, merge, publish, distribute, sublicense, and/or sell\ncopies of the Software, and to permit persons to whom the Software is\nfurnished to do so, subject to the following conditions:\n\nThe above copyright notice and this permission notice shall be included in\nall copies or substantial portions of the Software.\n\nTHE SOFTWARE IS PROVIDED "AS IS", WITHOUT WARRANTY OF ANY KIND, EXPRESS OR\nIMPLIED, INCLUDING BUT NOT LIMITED TO THE WARRANTIES OF MERCHANTABILITY,\nFITNESS FOR A PARTICULAR PURPOSE AND NONINFRINGEMENT. IN NO EVENT SHALL THE\nAUTHORS OR COPYRIGHT HOLDERS BE LIABLE FOR ANY CLAIM, DAMAGES OR OTHER\nLIABILITY, WHETHER IN AN ACTION OF CONTRACT, TORT OR OTHERWISE, ARISING FROM,\nOUT OF OR IN CONNECTION WITH THE SOFTWARE OR THE USE OR OTHER DEALINGS IN\nTHE SOFTWARE.\n\n@package CodeIgniter\n@author EllisLab Dev Team\n@copyright Copyright (c) 2008 - 2014, EllisLab, Inc. (https://ellislab.com/)\n@copyright Copyright (c) 2014 - 2019, British Columbia Institute of Technology (https://bcit.ca/)\n@license https://opensource.org/licenses/MIT MIT License\n@link https://codeigniter.com\n@since Version 3.0.0\n@filesource	General
EN	php	CodeIgniter	system/core/compat/standard.php	CodeIgniter/system/core/compat/standard.php/40	PHP ext/standard compatibility package\n\n@package CodeIgniter\n@subpackage CodeIgniter\n@category Compatibility\n@author Andrey Andreev\n@link https://codeigniter.com/user_guide/	General
